"SID","lat","lon","elev","name"
72261,29.3744,-100.9183,314.7,"DEL RIO/INT., TX."
72265,31.9425,-102.1892,874.1,"MIDLAND/MIDLAND REG. AIR TERM., TX."
72274,32.2278,-110.9558,747.4,"TUCSON, AZ."
72293,32.8333,-117.1167,133.5,"SAN DIEGO/MIRAMAR,  NAS, CA."
72305,34.7761,-76.8767,10.8,"NEWPORT, NC."
72317,36.0981,-79.9428,277.1,"GREENSBORO/G.-HIGH PT., NC."
72318,37.2039,-80.4142,641.9,"BLACKSBURG, VA."
72327,36.2333,-86.55,173,"NASHVILLE/METROPOLITAN, TN."
72340,34.835,-92.2594,173.1,"LITTLE ROCK/ADAMS FLD,  AR."
72357,35.1808,-97.4378,345,"NORMAN/MAX WESTHEIMER A, OK."
72363,35.2331,-101.7092,1095,"AMARILLO/INTL., TX."
72364,31.8728,-106.6981,1254,"SANTA TERESA, NM."
72365,35.0378,-106.6219,1619,"ALBUQUERQUE/INT., NM."
72376,35.23,-111.8217,2181,"FLAGSTAFF, AZ"
72381,34.9167,-117.9,705,"EDWARDS AFB, CA."
72393,34.75,-120.5667,121,"VANDENBERG AFB, CA."
72402,37.9333,-75.4833,12.2,"WALLOPS ISLAND, VA."
72403,38.95,-77.45,98,"WASHINGTON/DULLES INT., VA."
72426,39.4214,-83.8217,323.3,"WILMINGTON, OH."
72440,37.2347,-93.4014,390.1,"SPRINGFIELD/MUN., MO."
72451,37.7614,-99.9686,789.7,"DODGE CITY/MUN., KS."
72456,39.0722,-95.6306,268.6,"TOPEKA/MUN., KS."
72476,39.12,-108.525,1473,"GRAND JUNCTION/WALKER FIELD, CO."
72489,39.5681,-119.7967,1515,"RENO, NV."
72493,37.7444,-122.2236,4.2,"OAKLAND/METROP. OAKLAND INT., CA."
72501,40.8656,-72.8647,26.2,"UPTON, NY."
72518,42.75,-73.8,89,"ALBANY COUNTY AIRPORT,  NY."
72520,40.5167,-80.2167,359,"PITTSBURGH/GREATER PITTSBURGH INT., PA."
72528,42.9411,-78.7189,217.9,"BUFFALO/GREATER BUFFALO INT., NY."
72558,41.32,-96.3669,351.5,"VALLEY, NE."
72562,41.1328,-100.7,848.4,"NORTH PLATTE/LEE BIRD, NE."
72572,40.7722,-111.9553,1289,"SALT LAKE CITY/INTNL UT."
72582,40.86,-115.7422,1595,"ELKO, NV."
72597,42.3769,-122.8822,398.9,"MEDFORD/MEDFORD-JACKSON COUNTY, OR."
72632,42.6975,-83.4711,321.3,"WHITE LAKE, MI."
72634,44.9075,-84.7189,448.4,"GAYLORD, MI."
72645,44.4986,-88.1119,209.6,"GREEN BAY/A.-STRAUBEL, WI."
72649,44.8497,-93.5647,287.9,"CHANHASSEN, MN."
72659,45.4556,-98.4133,399.6,"ABERDEEN/REG., SD."
72662,44.6667,-103.2,1030,"RAPID CITY/REGIONAL AIRPORT, SD."
72672,43.0653,-108.4772,1698,"RIVERTON, WY."
72681,43.5672,-116.2114,873.4,"BOISE/MUN., ID."
72694,44.9092,-123.0083,62.1,"SALEM/MCNARY, OR."
72712,46.8683,-68.0136,191,"CARIBOU/MUN., ME."
72747,48.5647,-93.3975,361.5,"INT.FALLS/FALLS INT. MN."
72764,46.7717,-100.7594,505.3,"BISMARCK/MUN., ND."
72768,48.2067,-106.6256,694.4,"GLASGOW/INT., MT."
72776,47.4614,-111.3847,1131,"GREAT FALLS, MT."
72786,47.6806,-117.6267,728.9,"SPOKANE, WA."
72797,47.9339,-124.5603,57.4,"QUILLAYUTE, WA."
74004,32.5,-114,231,"YUMA PROVING GROUNDS AZ."
74389,43.8925,-70.2542,118.2,"GRAY, ME."
74455,41.6114,-90.5817,230.5,"QUAD CITY, IA."
74560,40.1517,-89.3383,180.2,"LINCOLN, IL."
74794,28.4667,-80.55,0,"CAPE KENNEDY, FL."
76225,28.6667,-106.0333,1472,"CHIHUAHUA, CHIH."
76394,25.8667,-100.2333,448,"AEROP.INTERNACIONAL MONTERREY, N.L."
76405,24.1167,-110.3167,18,"LA PAZ, BCS"
76458,23.2167,-106.4,3,"COLONIA JUAN CARRASCO MAZATLAN, SIN."
76595,21.0167,-86.85,9,"CANCUN"
76612,20.7,-103.3833,1551,"GUADALAJARA, JAL."
76644,20.95,-89.65,11,"AEROP.INTERNACIONAL MERIDA, YUC"
76654,19.0667,-104.3333,3,"MANZANILLO, COL."
76679,19.4333,-99.1333,2235,"AEROP. INTERNACIONAL MEXICO, D.F."
76692,19.15,-96.1333,19,"HACIENDA YLANG YLANG VERACRUZ, VER."
76743,17.9833,-92.9333,6,"VILLAHERMOSA, TAB."
76805,16.75,-99.75,3,"ACAPULCO, GRO."
78016,32.3667,-64.6667,130,"BERMUDA INTERNATIONAL AIRPORT"
78384,19.2833,-81.35,3,"OWEN ROBERTS AIRPORT GRAND CAYMAN"
78397,17.9333,-76.7833,14,"KINGSTON/NORMAN MANLEY"
78486,18.4333,-69.8833,14,"SANTO DOMINGO"
78526,18.4317,-65.9919,3.6,"SAN JUAN/INT.,  PUERTO RICO"
78583,17.5333,-88.3,5,"BELIZE/PHILLIP GOLDSTON INTL. AIRPORT"
78807,8.9667,-79.5667,7,"COROZAL OESTE"
